id,loan_amnt,funded_amnt,int_rate,installment,emp_length,annual_inc,loan_status
1077501,5000,5000,10.65,162.87,10,24000,Low Risk
1077430,2500,2500,15.27,59.83,1,30000,High Risk
1077175,2400,2400,15.96,84.33,10,12252,Low Risk
1076863,10000,10000,13.49,339.31,10,49200,Low Risk
1075358,3000,3000,12.69,67.79,1,80000,Medium Risk
1075269,5000,5000,7.9,156.46,3,36000,Low Risk
1069639,7000,7000,15.96,170.08,8,47004,Low Risk
1072053,3000,3000,18.64,109.43,9,48000,Low Risk
1071795,5600,5600,21.28,152.39,4,40000,High Risk
1071570,5375,5375,12.69,121.45,1,15000,High Risk
1070078,6500,6500,14.65,153.45,5,72000,Low Risk
1069908,12000,12000,12.69,402.54,10,75000,Low Risk
1064687,9000,9000,13.49,305.38,1,30000,High Risk
1069866,3000,3000,9.91,96.68,3,15000,Low Risk
1069057,10000,10000,10.65,325.74,3,100000,High Risk
1069759,1000,1000,16.29,35.31,1,28000,Low Risk
1065775,10000,10000,15.27,347.98,4,42000,Low Risk
1069971,3600,3600,6.03,109.57,10,110000,Low Risk
1062474,6000,6000,11.71,198.46,1,84000,Low Risk
1069742,9200,9200,6.03,280.01,6,77385.19,Low Risk
1069740,20250,20250,15.27,484.63,3,43370,Low Risk
1039153,21000,21000,12.42,701.73,10,105000,High Risk
1069710,10000,10000,11.71,330.76,10,50000,Low Risk
1069700,10000,10000,11.71,330.76,5,50000,Low Risk
1069559,6000,6000,11.71,198.46,1,76000,High Risk
1069697,15000,15000,9.91,483.38,2,92000,Low Risk
1069800,15000,15000,14.27,514.64,9,60000,High Risk
1069657,5000,5000,16.77,123.65,2,50004,High Risk
1069799,4000,4000,11.71,132.31,10,106000,Low Risk
1047704,8500,8500,11.71,281.15,1,25000,Low Risk
1032111,4375,4375,7.51,136.11,7,17108,Low Risk
1069539,31825,31825,7.9,995.82,5,75000,Low Risk
1065420,10000,10000,15.96,242.97,2,29120,Medium Risk
1069591,5000,5000,8.9,158.77,2,24044,Low Risk
1069530,7000,7000,15.96,245.97,7,34000,Low Risk
1069522,12400,12400,10.65,403.91,10,41000,Low Risk
1069361,10800,10800,9.91,348.03,2,55596,Low Risk
1069357,15000,15000,7.9,469.36,1,45000,Low Risk
1069356,6000,6000,12.42,200.5,1,36852,Low Risk
1069346,12500,12500,12.69,282.44,1,27000,Medium Risk
1067573,9600,9600,7.51,298.67,4,68004,Low Risk
1069506,12000,12000,7.9,375.49,10,62300,Low Risk
1069314,3000,3000,18.25,108.84,9,65000,Low Risk
1060578,4400,4400,16.77,156.37,10,55000,Low Risk
1069469,6000,6000,6.03,182.62,10,45600,Low Risk
1051117,14000,14000,9.91,451.15,6,80000,Low Risk
1069465,5000,5000,8.9,158.77,10,100000,High Risk
1069283,10000,10000,10.65,325.74,6,27000,Low Risk
1069287,10000,10000,6.03,304.36,10,60000,Low Risk
1069453,11000,11000,6.62,337.75,5,70000,Low Risk
1069248,15000,15000,9.91,483.38,8,80000,High Risk
1068120,25600,25600,9.91,824.96,9,110000,Low Risk
1069244,7000,7000,10.65,228.02,1,40000,Low Risk
1069243,12000,12000,15.96,421.65,4,50000,High Risk
1069238,12000,12000,9.91,386.7,1,46000,Low Risk
1069410,21000,21000,19.91,555.33,7,50000,High Risk
1068409,16000,16000,19.91,423.11,7,81000,Low Risk
1068487,10000,10000,12.42,334.16,1,39000,Low Risk
1043961,10000,10000,10.65,325.74,2,51400,Low Risk
1068945,7100,7100,16.77,252.33,1,33000,Low Risk
1069142,13000,13000,12.69,293.74,1,30000,Low Risk
1068934,17500,8950,17.27,223.74,6,40000,Low Risk
1069136,17675,17675,14.65,417.25,1,50000,Low Risk
1068923,8000,8000,16.77,284.31,1,62000,Low Risk
1069126,10000,10000,10.65,215.69,10,45996,High Risk
1069102,3500,3500,10.65,114.01,7,55000,Low Risk
1069093,12500,8925,17.27,223.11,5,30000,High Risk
1069030,16425,16425,14.27,563.53,4,44544,Low Risk
1068906,8200,8200,21.28,223.14,4,75000,High Risk
1069073,15000,15000,14.65,517.42,2,61000,Low Risk
1069043,20975,13575,17.58,341.63,5,44000,Low Risk
1060981,6400,6400,16.77,227.45,5,75000,High Risk
1069071,3000,3000,13.49,101.8,1,33600,Low Risk
1069070,12000,12000,16.77,426.47,3,50000,Low Risk
1068893,14400,14400,8.9,457.25,1,150000,Low Risk
1068882,12000,12000,14.65,413.94,10,90000,Low Risk
1069039,11000,11000,13.49,373.24,10,48000,Low Risk
1068416,7250,7200,21.67,197.51,1,75000,Low Risk
1068997,15000,15000,7.9,469.36,1,52000,Low Risk
1048390,18000,18000,19.91,475.99,10,65000,Low Risk
1068994,35000,22075,17.27,551.84,3,150000,Low Risk
1068475,10000,10000,14.27,343.09,2,68000,Low Risk
1068989,11800,11800,12.69,395.83,6,42000,Low Risk
1068967,4500,4500,6.03,136.96,4,53000,Low Risk
1068744,7000,7000,12.69,234.82,10,35000,Low Risk
1045509,9200,9200,12.42,307.43,2,60000,Low Risk
1063958,14000,14000,17.27,349.98,4,28000,Medium Risk
1041756,4500,4500,10.65,97.06,1,42000,Low Risk
1068694,12000,12000,16.29,423.61,9,88365,Low Risk
1068792,12000,12000,13.49,407.17,4,72000,Low Risk
1068558,12000,12000,10.65,390.88,1,62000,Low Risk
1068322,7000,7000,10.65,228.02,3,43680,Low Risk
1065674,8200,8200,19.42,214.62,3,120000,Low Risk
1068547,10500,10500,12.69,352.23,10,66000,Low Risk
1068545,7000,7000,11.71,231.54,4,39120,Low Risk
1068575,15300,15300,22.06,423.1,6,85000,Medium Risk
1049528,20000,12800,11.71,282.86,4,47800,Low Risk
1068542,17500,17500,17.27,437.47,7,45000,High Risk
1068350,3500,3500,6.03,106.53,10,83000,Low Risk
1067874,6000,6000,12.69,135.57,1,81000,Medium Risk
1068509,6200,6200,9.91,199.8,2,25000,High Risk
1034693,16000,16000,17.58,402.65,7,65000,Medium Risk
1068508,6000,6000,8.9,190.52,8,28800,Low Risk
1066641,7200,7200,9.91,232.02,6,135000,Low Risk
1068315,9500,9500,8.9,301.66,7,50000,Low Risk
1068309,18825,18825,16.77,465.53,10,38000,High Risk
1068326,24000,24000,10.65,781.76,10,45000,Low Risk
1066767,6000,6000,13.49,203.59,10,80000,Low Risk
1068484,6000,6000,13.49,203.59,5,50000,Low Risk
1068292,2100,2100,12.42,70.18,10,30000,Low Risk
1068273,5500,5500,6.62,168.88,8,110000,Low Risk
1068274,11000,11000,6.62,337.75,8,45608,Low Risk
1068440,26800,26800,20.89,723.38,3,120000,Low Risk
1046456,8000,8000,12.69,268.36,5,35000,Low Risk
1068012,10000,10000,18.25,362.78,1,75000,High Risk
1055725,8000,8000,11.71,264.61,9,35000,Low Risk
1061814,10000,10000,8.9,317.54,6,24000,Low Risk
1068232,12000,12000,11.71,396.92,2,126000,Low Risk
1068405,10000,10000,7.9,312.91,1,43000,Low Risk
1068395,12000,12000,9.91,386.7,1,50000,Low Risk
1068202,25000,25000,13.49,575.12,10,67000,High Risk
1068006,19750,19750,10.65,643.33,4,45000,High Risk
1068075,10000,10000,9.91,322.25,3,31200,Low Risk
1065642,13650,13650,12.42,456.12,4,66000,Low Risk
1068179,28000,11800,19.91,312.04,10,52000,High Risk
1068158,18000,18000,7.9,563.23,10,56964,Low Risk
1068180,2500,2500,14.27,85.78,7,49500,Low Risk
1065673,21000,21000,20.3,559.89,10,70000,Low Risk
1068159,35000,35000,8.9,1111.37,6,125000,Low Risk
1068165,10000,10000,7.51,311.11,3,33000,Low Risk
1059689,7000,7000,12.69,234.82,1,30000,Low Risk
1066215,24000,24000,15.96,843.3,8,90000,High Risk
1063270,10625,10625,7.51,330.56,5,23000,Low Risk
1067931,5000,5000,14.65,172.48,2,24000,Low Risk
1067922,8850,8850,6.62,271.73,10,62000,Low Risk
1067919,6375,6375,7.51,198.34,4,44000,Low Risk
1068106,6000,6000,11.71,198.46,1,90000,Low Risk
1068111,11100,11100,6.62,340.82,10,41000,High Risk
1067655,10000,10000,12.69,225.95,2,56000,Low Risk
1060662,6200,6200,6.03,188.71,5,26500,Low Risk
1061304,15000,15000,18.64,547.12,1,54000,Low Risk
1068095,4200,4200,11.71,138.92,2,53000,Low Risk
1067182,14000,14000,14.27,480.33,4,52800,Low Risk
822464,8875,8875,7.51,276.11,1,38000,Low Risk
1063526,13500,13500,9.91,435.04,7,38000,Low Risk
1068091,12000,12000,9.91,386.7,2,42000,High Risk
1068090,16000,16000,19.91,423.11,4,55000,Low Risk
1068082,21600,21600,19.42,565.32,8,60000,Low Risk
1068078,6000,6000,10.65,195.44,6,87000,Low Risk
1057633,8450,8450,16.77,208.97,5,25000,Low Risk
1046204,20000,20000,13.49,460.1,1,82000,Low Risk
1067794,10000,10000,11.71,330.76,8,60000,High Risk
1067816,12000,12000,16.29,423.61,5,80000,Low Risk
1068018,13475,13475,13.49,309.99,10,25000,High Risk
